time,user_name,user_color,message
15925,flakyishky,#80DAF4,"classic"
15925,selfaware_loser,#51ECD4,"om"
15925,killerq13,#7F7F20,"Add check for "bank account balance""
15925,ephemeral_defect_,#5F9EA0,"SCHIZO SPOON"
15926,jameswenstar,#00FF7F,"KEKW"
15926,thuanngo2603,#FF0000,"mhm"
15926,superfra8,#1E90FF,"NOTED"
15926,yng_alex0,#B22222,"ICANT"
15926,aaugr,#00FF7F,"neuro5Head"
15926,rubicon373,#8A2BE2,"mhm"
15926,dethby_snusnu,,"LUL LUL LUL LUL LUL LUL"
15926,ravaxo,#BD005D,"NOTED"
15926,jag_felfedezo,#FF4500,"NOTED"
15926,carto40,#FF0000,"Classic"
15926,gremarlive,#1E90FF,"om"
15926,maxtest_,#1E90FF,"mhm"
15926,tiagoalegro,#00FF7F,"nuero 🥄 nuero 🥄 nuero 🥄 nuero 🥄 nuero 🥄 nuero 🥄 nuero 🥄"
15926,kepler_l2,#1E90FF,"ICANT"
15926,capturerealgoblin,#FF4500,"mhm"
15927,mz_konik,#9ACD32,"classic"
15927,belami_,#9ACD32,"Call someone for help"
15927,alooouuuu,#9ACD32,"classic"
15927,biomedestroyer,#DAA520,"NOTED"
15927,iokun_twitch,#B22222,"mhm"
15927,evmann,#5A2E81,"mhm"
15927,thelostnovice,#1E90FF,"With her spoon KEKW"
15928,azu2yn,#FF1CF5,"classic"
15928,phoenixot,#FF69B4,"SCHIZO SPOONS"
15928,je7kdeeznuts,#FF0000,"classic"
15928,alexejherodev,#FF0000,"not the spoon man"
15928,xminecat,#8A2BE2,"classic"
15928,itsveru,#DAA520,"mhm a spoonful"
15928,ankedragonsong,#008000,"Lol"
15928,arne_ooo_,#E2D824,"SCHIZO thermal paste"
15928,lordsadl,,"NOTED"
15929,aang_avatar,#0000FF,"mhm"
15929,rubicon373,#8A2BE2,"om"
15929,aces_______,,"neuroSCHIZO spoon"
15929,dust_piled,#FF0000,"om"
15929,gf_martins,#D2691E,"ICANT"
15929,cybernetichype,#DAA520,"om"
15930,derflo1234,#1E90FF,"ICANT"
15930,lankycraig,#00E2FF,"NOTED"
15930,lexant41,#DAA520,"classic"
15930,bdeathkiller,#C2C0AD,"mhm"
15930,fuidespedidodouber,#FF69B4,"classic"
15930,hyperpower_2022,#008000,"classic"
15930,friday_donuts,#FF69B4,"classic spoon"
15930,drei_1999,,"NOTED"
15930,opaa,#BEFF00,"use a spoon SCHIZO"
15931,infernal_ekoro,#FF4500,"classic"
15931,miszpelled,#1E90FF,"NOTED"
15931,nohealforu,#6F66FF,"there is no spoon"
15931,alooouuuu,#9ACD32,"classic 󠀀"
15931,peliaz20,#9ACD32,"NOTED"
15931,sarin_becken,,"mhm"
15931,silenceisforever,#1E90FF,"mhm"
15931,jim_jam_devourer_of_gods,#FF69B4,"Classic"
15931,undatedsummer5,#FF69B4,"classic"
15932,theskyrrelfi,#8A2BE2,"lazymattWorm"
15933,j2space,,"mhm spoon"
15933,ravaxo,#BD005D,"is it really"
15933,daniiya1,#8A2BE2,"mhm"
15933,cheesuschad,#00FF7F,"classic spoon trick"
15933,duckduckboots,,"mhm"
15934,diamondisspiffy,#1E90FF,"@Lord_Apophis  TRUEING"
15935,5yuki_rito5,,"uuh"
15935,mongolenvoy,,"A freaking spoon!"
15935,長水_あきえ (akie150428),#FF69B4,"NOTED"
15935,sdekrain,#1E90FF,"@Lord_Apophis OhISee"
15935,cluelesscatburger,#00FF7F,"cleliv 🥄"
15936,mug9n,#B22222,"om"
15936,thestrategist40k,#FF0000,"mhm ic"
15936,vaylufa,#1E90FF,"plastic spoon? or metal?"
15936,finnadder,#FF69B4,"NOTED"
15937,yvoris_ls,#069696,"OMEGALUL"
15937,aristew2,#8A2BE2,"clasic"
15937,darkaxz,#28EFFF,"NOTED"
15938,stany_d,,"mhm"
15939,poppetvalve,#FD0000,"goodnight everyone !"
15939,harutohaichi,,"mhm"
15939,5yuki_rito5,,"om"
15939,t_kermi,#1E90FF,"HUH"
15941,syrum_x,#DE1159,"the cpu block is already applied Neuro OMEGALUL"
15942,ayudunt,#0000FF,"oh NOTED"
15942,makeiteasy12,,"mhm"
15943,darkaxz,#28EFFF,"uuh"
15943,themrcmg,#0000FF,"vedalFiltered vedalFiltered vedalFiltered vedalFiltered vedalFiltered"
15943,daikiba,,"Wat eva zawarudo yoink at chu, fuhgeddaboudit"
15943,i_got_banned_for_12,#1E90FF,"uuh"
15943,derflo1234,#1E90FF,"NOTED"
15943,daniiya1,#8A2BE2,"uuh"
15943,swordabear,#FF0000,"uuh"
15944,pandamacaronee,#FFDA00,"what"
15944,kelo_the_green_minstrel,#008000,"uuh"
15944,hexeron,#1E90FF,"uuh 󠀀"
15944,pirataak,#DAA520,"uuh"
15944,lilac1054,#0000FF,"uuh"
15944,simracer5690,#0000FF,"HUH"
15944,greathiago,#1E90FF,"om"
15944,mug9n,#B22222,"HUH"
15944,phoenixot,#FF69B4,"uuh"
15944,jared_chocobo,#EC1337,"uuh"
15944,xminecat,#8A2BE2,"OhISee"
15944,thestrategist40k,#FF0000,"uuh"
15944,cluelesscatburger,#00FF7F,"cluero 🥄"
15944,valproh231,#FF69B4,"uuh ?"
15945,gen_sasha6z,#D2691E,"pepeKneel"
15945,mitowo_,#7479AD,"uuh"
15945,thefakedefy,#D1FF00,"only a spoonful"
15945,aces_______,,"WHAT"
15945,ephemeral_defect_,#5F9EA0,"huh"
15945,criptycal,#E18DCA,"HUH"
15945,ravaxo,#BD005D,"uuh"
15946,juhotuho10,#FF69B4,"uuh"
15946,fantastic_foxx,#FF0000,"uuh"
15946,not__soti,#FF69B4,"uuh"
15946,zarius_x,#00FF7F,"uuh"
15946,t0niosu,#1E90FF,"uuh"
15946,titan_hunterxx,,"uuh"
15946,empytm,#9ACD32,"uuh"
15946,birdsharna,#8A2BE2,"yyg"
15946,eckscalibur_,#008000,"uuh"
15947,unplayernamed,#FFFF00,"uuh"
15947,nohealforu,#6F66FF,"HUH"
15947,selfaware_loser,#51ECD4,"uuh"
15947,ankedragonsong,#008000,"She wants you to "spoon" her"
15947,yellowbalaclava,#DAA520,"pepeKneel"
15947,i_got_banned_for_12,#1E90FF,"Prayge"
15947,imaiden_b,,"uuh"
15947,ragged_potato,,"uuh"
15947,pigheckler,#FF0000,"uuh"
15947,techguy91,,"huh"
15947,exit_800mg,#FF0000,"Prayge"
15948,kepler_l2,#1E90FF,"pepeKneel"
15948,friday_donuts,#FF69B4,"uuh"
15948,fbcpck,#FF69B4,"lmao"
15948,smah45,#A60A0B,"vedalUUH"
15948,vvyrr,#00FF7F,"uuh"
15948,mz_konik,#9ACD32,"HUH"
15948,makeiteasy12,,"HUH"
15949,xminecat,#8A2BE2,"uuh"
15949,crimon,#FF0000,"pepeKneel"
15949,infernal_ekoro,#FF4500,"uuh"
15949,vinyl_fantasy,#B22222,"pepeKneel"
15949,rachinova,#FF0000,"Prayge q"
15949,aaugr,#00FF7F,"GabeN"
15949,hechitman,#8A2BE2,"uuh"
15950,manu_turlututu,#BEFF00,"spoon lover om"
15950,prapr,#FF4500,"Prayge"
15950,ayudunt,#0000FF,"uuh"
15950,ragged_potato,,"Prayge"
15950,capturerealgoblin,#FF4500,"Prayge"
15950,brickgod44,#1E90FF,"Prayge"
15950,gchr_,#DAA520,"Prayge"
15950,cybernetichype,#DAA520,"uuh"
15950,altaer,#FF0000,"i am"
15951,juhotuho10,#FF69B4,"GabeN"
15951,manuh_owo,#FF0000,"Prayge"
15951,starey3,#2EB3CB,"Thermal paste = Ice cream NOTED"
15951,silenceisforever,#1E90FF,"Prayge"
15951,societyinhabiter8,#FF7F50,"neuroPray"
15951,nightjesterx,#8A2BE2,"Ayo huh?"
15951,chunmeru,#8A2BE2,"Prayge"
15951,je7kdeeznuts,#FF0000,"Prayge"
15951,undatedsummer5,#FF69B4,"uuh"
15951,superfra8,#1E90FF,"Prayge"
15951,syxside,#8A2BE2,"uuh"
15951,smah45,#A60A0B,"neuroUuh"
15952,peetttt,#00FF7F,"LUL"
15952,nebirvs,#AD0000,"Prayge Gaben"
15952,nohealforu,#6F66FF,"neuroPray"
15952,valproh231,#FF69B4,"Prayge"
15952,albertunderscore,#DAA520,"Prayge"
15952,alexejherodev,#FF0000,"bro why is everyone screenshotting my messages in neurotic"
15953,lexant41,#DAA520,"@poppetvalve vedalWave"
15953,kerem_pinkie,#FF69B4,"Prayge"
15953,petrizide,#8A2BE2,"Prayge Linus"
15953,mattata_aya,#FF0000,"uuh"
15953,ravaxo,#BD005D,"Prayge nwwero"
15953,t0niosu,#1E90FF,"Prayge"
15953,boness207,#5F9EA0,"Prayge"
15953,goonspudyouare,,"pray ge"
15953,blargarble,#FF4500,"Prayge"
15954,azu2yn,#FF1CF5,"pray to the time god"
15954,smah45,#A60A0B,"annytfPray"
15954,greathiago,#1E90FF,"YES"
15954,xminecat,#8A2BE2,"pepeKneel"
15954,mz_konik,#9ACD32,"Prayge"
15954,bakedls077,,"uuh"
15954,pandamacaronee,#FFDA00,"pepeKneel"
15954,birdsharna,#8A2BE2,"uuh"
15954,enning_,#FF69B4,"pepeKneel"
15954,neverduft,#9C4FE4,"GabeN"
15954,aserorion,#8A2BE2,"Prayge"
15955,eckscalibur_,#008000,"NO"
15955,megamanx1,#1E90FF,"HUH"
15955,dominatwin,#1E90FF,"Prayge"
15955,thor_the_druid,#FF0000,"Prayge"
15955,zaphod_____,#FF0000,"god of pee sees LULE"
15955,lordsadl,,"pepeKneel"
15955,ninblade_,,"Ughhh"
15956,smah45,#A60A0B,"laynaPray"
15956,hyperpower_2022,#008000,"Prayge"
15956,derflo1234,#1E90FF,"Prayge"
15956,mitchikamystic,#DAA520,"Someone please draw Neuro eating thermal paste, she's gone on about it enough"
15956,cuernodmamut,#00FF7F,"Prayge"
15956,imaiden_b,,"Prayge"
15956,vinotintox,,"LinusLookingAtYou"
15957,themannaking,#00FF7F,"Yo what"
15957,stany_d,,"neuroPray believe in the time god"
15957,fantastic_foxx,#FF0000,"🖥️ pepeKneel"
15958,ravaxo,#BD005D,"Prayge nwero"
15958,jameswenstar,#00FF7F,"Prayge"
15958,smah45,#A60A0B,"Prayge"
15958,bigshowhuh,,"Prayge RNGsus"
15958,m3lor,#FF0000,"GabeN pepeKneel"
15959,anmoljacob,#00FF7F,"neuroPray"
15959,gamehead130,#FF0000,"Prayge"
15959,exit_800mg,#FF0000,"Prayge LinusLookingAtYou"
15959,blackberry792,#FF0B85,"Prayge"
15959,petee3e,#008000,"Prayge"
15959,prevot,#FF69B4,"gaben?"
15960,jaxxon_bunny,,"Prayge"
15960,jag_felfedezo,#FF4500,"jetsPray syadouPray clioaiPray neuroPray"
15960,kelo_the_green_minstrel,#008000,"ono"
15960,scyrade,#FF4500,"uuh"
15960,boness207,#5F9EA0,"pepeKneel"
15961,bakedls077,,"Prayge"
15961,gen_sasha6z,#D2691E,"LULE 👂 ❓ What is he saying?"
15961,ingen2,#0000FF,"Prayge laynaPray"
15961,aang_avatar,#0000FF,"Prayge"
15961,i_got_banned_for_12,#1E90FF,"Pain"
15962,kei_nix,#8A2BE2,"Prayge"
15962,darkaxz,#28EFFF,"yes"
15962,yoeblue,#00C700,"Tutel"
15962,prapr,#FF4500,"KEKW"
15963,m3lor,#FF0000,"GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel GabeN pepeKneel"
15963,lubnub,#FF0000,"GabeN"
15963,undatedsummer5,#FF69B4,"oh NO"
15963,wub777,#DAA520,"Pain"
15964,nohealforu,#6F66FF,"Pain"
15964,d0esn0tcompute,#1E90FF,"henyaPray henyaPray"
15964,ravaxo,#BD005D,"Prayge nwero <- god of pcs"
15964,to_be_deleted,#1E90FF,"Prayge"
15964,lilac1054,#0000FF,"Pain"
15964,bdeathkiller,#C2C0AD,"Prayge"
15964,diamondisspiffy,#1E90FF,"neuroPray Prayge"
15965,lordsadl,,"Prayge"
15965,hyperpower_2022,#008000,"TutelDespair"
15965,theferrasmx,#DAA520,"vedalDance"
15967,questionablecartoonstar,#FF0000,"welp at least we know that Neuro will get normal PC and Vedal gets the special"
15967,carto40,#FF0000,"Bros PC is working off warp magic"
15968,smah45,#A60A0B,"Prayge LinusLookingAtYou GabeN Prayge LinusLookingAtYou GabeN Prayge LinusLookingAtYou GabeN Prayge LinusLookingAtYou GabeN Prayge LinusLookingAtYou GabeN"
15968,daniiya1,#8A2BE2,"apparently the prayers are working because how the fuck does this even boot"
15969,retro_road,#5F9EA0,"Praise the Omnissiah"
15969,cluelesscatburger,#00FF7F,"neuroPray"
15969,airis_es,#8A2BE2,"Prayge"
15969,real7r,#8A2BE2,"is vedal getting quieter the longer the stream?"
15970,empytm,#9ACD32,"neuroPain"
15971,maksimkryukov,#0000FF,"Tutel noises"
15971,wee_man135,#DAA520,"Prayge"
15972,itsveru,#DAA520,"Prayge"
15973,duckduckboots,,"Prayge"
15974,sinnison23,,"@AlexejheroDev because they are neurotic  splatcatKek"
15975,dreadful_silence,#B22222,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer"
15975,lexant41,#DAA520,"Prayge"
15975,konomi_io,#8A2BE2,"neuroPray"
15975,roccun,#00FF7F,"go through man? Gayge"
15976,imaiden_b,,"Prayge Prayge"
15976,ragadagadeng,#1E90FF,"Prayge"
15976,killerq13,#7F7F20,"The Machine Spirit Prayge"
15976,darkrazec,#FF0000,"Prayge"
15977,prapr,#FF4500,"Prayge SPEED"
15977,undatedsummer5,#FF69B4,"neuroPray"
15978,gamehead130,#FF0000,"neuroPray"
15978,goldenmemez369,#FF69B4,"Prayge"
15978,runchuan,#00FF7F,"Prayge"
15978,ankedragonsong,#008000,"GOD OF PC"
15979,feelmycake,#B22222,"neuroPray"
15980,dreadful_silence,#B22222,"vedalCross vedalCross vedalCross vedalCross"
15981,maddie_2078,#1E90FF,"Prayge NweroMyQueen"
15981,drag0shine,#1E90FF,"neuro, pain is always the outcome'"
15983,rubicon373,#8A2BE2,"Prayge"
15983,kelo_the_green_minstrel,#008000,"Prayge"
15983,selfaware_loser,#51ECD4,"@AlexejheroDev Starege"
15984,darkaxz,#28EFFF,"Prayge good point"
15984,daniel_8908,#4040B7,"neuroPray LinusLookingAtYou"
15984,norbiej,#1E90FF,"OMEGALUL"
15984,arsina_lqm,,"Prayge"
15986,itsveru,#DAA520,"om"
15987,starey3,#2EB3CB,"KEKW"
15987,ahpuck,#00FFEC,""looks good""
15987,anferlive,#4966C3,"FRICK  the discord screenshotters FRICK  the discord screenshotters"
15987,xminecat,#8A2BE2,"Prayge"
15988,liceall,#2E8B57,"GOODONE"
15988,sumyungguy986,#00FF7F,"Prayge HACKS0"
15989,smah45,#A60A0B,"om"
15990,cheesuschad,#00FF7F,"PrayTechTips"
15990,victorsama_mcf_neuro_evil,#008000,"vedalCross vedalCross vedalCross"
15991,shuni64,#00FF00,"Prayge"
15993,sagelecious,#B22222,"vedal ang ork?"
15993,iokun_twitch,#B22222,"GOODONE"
15993,sansthechatter,#0000FF,"We did it!"
15994,imaiden_b,,"HOLY Prayge"
15994,dreadful_silence,#B22222,"Pope neuro"
15994,rauitt,,"vedalCross vedalCross"
15996,mongusaeye,#008000,"neuroPray Neuro Pray tips"
15996,bumbai_chan,#8A2BE2,"KEKWA"
15998,ankedragonsong,#008000,"Isn't that bill gates"
15998,jaxxon_bunny,,"?"
15999,zetsuboutadakota,#54FF4F,"oh owo"
15999,syrum_x,#DE1159,"you need a head lamp. mhm"
15999,t0niosu,#1E90FF,"Prayge Oh god LinusLookingAtYou please help"
15999,neuromyqueen,#FF69B4,"Ooo"
15999,i_got_banned_for_12,#1E90FF,"shizaHands"
15999,lilac1054,#0000FF,"owo"
15999,steve_jumper,,"Prayge GabeN nwero"
16000,stany_d,,"oh owo"
16002,mug9n,#B22222,"cluero Ooo 󠀀"
16002,greathiago,#1E90FF,"Prayge"
16003,darkaxz,#28EFFF,"uuh"
16004,eckscalibur_,#008000,"neuroSoCute"
16006,gravesbane,#008000,"Laser eyes?"
16007,imaiden_b,,"oh owo"
16007,manyboyyyy,#0000FF,"oooo"
16008,chrawnus,#125912,"LucesPrayTips"
16009,tasteofgrandmasfurburger,,"SUSSY"
16010,igorsaww,#9ACD32,"uuh"
16010,jameswenstar,#00FF7F,"uuh"
16010,swordabear,#FF0000,"uuh 󠀀"
16011,breadedshrimp1,#0000FF,"uuh"
16011,lilac1054,#0000FF,"uuh"
16011,anferlive,#4966C3,"uuh"
16011,smah45,#A60A0B,"flushE"
16011,pigheckler,#FF0000,"uuh 󠀀"
16011,mug9n,#B22222,"HUH"
16011,ayudunt,#0000FF,"uuh 󠀀"
16011,kelo_the_green_minstrel,#008000,"uuh"
16011,eckscalibur_,#008000,"uuh"
16011,airis_es,#8A2BE2,"uuh"
16011,observer1799,#FF0000,"uuh"
16011,mrcodi7u7,#FF4500,"uuh"
